,ID,Primary Type,Community Area,Year,Latitude,Longitude,FIPS,Tract,Block
118071,7575053,CRIMINAL DAMAGE,44.0,2010,41.73747484,-87.61070303,170314402022016,440202,2016
292201,7691260,THEFT,8.0,2010,41.89668641,-87.62745612,170310815001000,081500,1000
140520,7583411,CRIMINAL DAMAGE,12.0,2010,41.97377975,-87.75286035,170311204002015,120400,2015
275397,7616898,ROBBERY,26.0,2010,41.87638768,-87.73532801,170312606002007,260600,2007
162788,7313035,CRIMINAL TRESPASS,68.0,2010,41.78832449,-87.65350735,170316805002020,680500,2020
196964,7657597,MOTOR VEHICLE THEFT,69.0,2010,41.765187100000006,-87.61162376,170316909004004,690900,4004
196564,7844013,MOTOR VEHICLE THEFT,43.0,2010,41.77106249,-87.58627081,170314302005013,430200,5013
60418,7318317,BATTERY,57.0,2010,41.80160531,-87.73197481,170315703004020,570300,4020
237696,7688174,NARCOTICS,1.0,2010,42.01526807,-87.67245731,170310102022001,010202,2001
335198,7678775,THEFT,35.0,2010,41.82886469,-87.62651388,170313515002005,351500,2005
242878,7352478,NARCOTICS,75.0,2010,41.68826563,-87.642253,170317506001004,750600,1004
257655,7776935,OTHER OFFENSE,29.0,2010,41.85142347,-87.73275637,170318434001008,843400,1008
276865,7461260,ROBBERY,61.0,2010,41.80696223,-87.65095188,170316110001003,611000,1003
195060,7459113,MOTOR VEHICLE THEFT,66.0,2010,41.7856495,-87.69723162,170316603021013,660302,1013
293293,7299822,THEFT,32.0,2010,41.88447070000001,-87.63310278,170318391001042,839100,1042
262470,7606341,OTHER OFFENSE,66.0,2010,41.77817606,-87.68970897,170316606002003,660600,2003
326872,7607623,THEFT,19.0,2010,41.92816985,-87.78560906,170311906012011,190601,2011
23809,7555082,BATTERY,25.0,2010,41.87862498,-87.77133694,170312521011028,252101,1028
163203,7499531,CRIMINAL TRESPASS,17.0,2010,41.94109269,-87.7845171,170311711003014,171100,3014
75879,7658679,BATTERY,69.0,2010,41.76112092,-87.61394914,170316909005010,690900,5010
255779,7363605,OTHER OFFENSE,29.0,2010,41.85355559,-87.71157922,170318414001008,841400,1008
101166,7678979,BURGLARY,61.0,2010,41.80950743,-87.67228395,170316103003025,610300,3025
90886,7494376,BURGLARY,67.0,2010,41.78139759,-87.65624236,170316709001010,670900,1010
182675,7827063,MOTOR VEHICLE THEFT,27.0,2010,41.87332248,-87.71565053,170312715001001,271500,1001
284405,7881122,ROBBERY,40.0,2010,41.78220397,-87.62210613,170314008002007,400800,2007
104960,7812479,BURGLARY,42.0,2010,41.78320902,-87.60599153,170314205002000,420500,2000
47940,7655162,BATTERY,46.0,2010,41.74468082,-87.5499002,170314601004005,460100,4005
305297,7702004,THEFT,24.0,2010,41.89713037,-87.66732234,170312421003014,242100,3014
282176,7348237,ROBBERY,23.0,2010,41.9097156,-87.73885249,170312306006006,230600,6006
127713,7467646,CRIMINAL DAMAGE,19.0,2010,41.92109303,-87.75114079999999,170311911005007,191100,5007
142695,7571297,CRIMINAL DAMAGE,63.0,2010,41.79125739,-87.68762727,170318351001037,835100,1037
102958,7474839,BURGLARY,61.0,2010,41.79725279,-87.64769559,170316121001022,612100,1022
14494,7815005,ASSAULT,67.0,2010,41.79307659,-87.6645575,170316702001015,670200,1015
