,Year,Business Type,Business Name,Address,Has Tobacco License,Has Liquor License,Crime Type,#Crimes,#Arrests,#OnPremises
182,2004,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,NARCOTICS,2,2,0
183,2006,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,NARCOTICS,1,1,0
184,2007,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,NARCOTICS,2,2,0
185,2009,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,NARCOTICS,1,1,0
186,2011,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,NARCOTICS,1,1,0
187,2012,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,NARCOTICS,1,1,0
188,2002,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,OFFENSE INVOLVING CHILDREN,1,0,0
189,2002,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,OTHER OFFENSE,1,0,0
190,2005,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,OTHER OFFENSE,1,1,0
191,2009,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,OTHER OFFENSE,1,0,0
192,2015,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,OTHER OFFENSE,1,1,0
193,2002,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,PROSTITUTION,1,1,0
194,2002,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,ROBBERY,2,0,0
195,2009,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,ROBBERY,1,0,0
196,2015,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,SEX OFFENSE,1,0,0
197,2002,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,THEFT,2,0,0
198,2003,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,THEFT,3,0,0
199,2005,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,THEFT,1,0,0
200,2007,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,THEFT,4,0,0
201,2008,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,THEFT,4,0,0
202,2010,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,THEFT,1,0,0
203,2013,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,THEFT,3,0,0
204,2014,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,THEFT,2,1,0
205,2015,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,THEFT,2,0,0
206,2016,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,THEFT,2,0,0
207,2017,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,THEFT,1,0,0
208,2003,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,WEAPONS VIOLATION,1,1,0
209,2014,grocery store,CROWN CORNED BEEF AND FOODS,351 N JUSTINE ST,FALSE,FALSE,WEAPONS VIOLATION,1,1,0
210,2015,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,ASSAULT,2,2,0
211,2017,grocery store,CORNER BAKERY #0160,360 N MICHIGAN AVE,FALSE,FALSE,ASSAULT,1,0,0
