,ID,Primary Type,Arrest,Community Area,Year,Latitude,Longitude,FIPS,Tract,Block
263354,10491800,BATTERY,False,29.0,2016,41.862815737,-87.71839486299999,170318387001011,838700,1011
4081823,3206608,OFFENSE INVOLVING CHILDREN,False,28.0,2004,41.877693697,-87.662743313,170318331003032,833100,3032
2418256,8277651,THEFT,False,7.0,2011,41.925680627,-87.653620164,170310704002014,070400,2014
2427045,8294855,BATTERY,False,25.0,2011,41.913150017,-87.75633820899999,170312503001023,250300,1023
1739185,6425344,THEFT,False,71.0,2008,41.750435417,-87.65793843,170317107001006,710700,1006
752076,11227951,CRIMINAL DAMAGE,True,61.0,2018,41.801358629,-87.66169868899999,170316112002020,611200,2020
2667371,8942759,BATTERY,False,25.0,2012,41.887837805,-87.753201992,170312518002000,251800,2000
6015234,7195577,THEFT,False,42.0,2009,41.785195464000005,-87.601173081,170314203001000,420300,1000
2580453,8806458,ASSAULT,False,15.0,2012,41.95922318,-87.785549109,170311505021006,150502,1006
2380314,8220541,THEFT,True,26.0,2011,41.885487535,-87.726422045,170312602001010,260200,1010
3468971,2338299,THEFT,False,3.0,2002,41.96491786,-87.650000625,170310315023000,031502,3000
4240376,3440505,BATTERY,False,16.0,2004,41.959877610999996,-87.731022096,170311603003000,160300,3000
1317711,4753593,THEFT,False,7.0,2006,41.931684824,-87.64897363799999,170310702001003,070200,1003
1889266,7359796,THEFT,False,10.0,2010,41.975162030999996,-87.818256803,170311005005033,100500,5033
5718352,6606316,THEFT,False,38.0,2008,41.8142402,-87.61672621,170318358001013,835800,1013
5624744,6419503,THEFT,False,19.0,2008,41.91727903,-87.785250268,170318315002007,831500,2007
1403645,8639168,MOTOR VEHICLE THEFT,False,1.0,2012,42.015044609,-87.663260015,170310103001006,010300,1006
5536561,6240305,ROBBERY,False,27.0,2008,41.873737423,-87.701627875,170318373001000,837300,1000
5675133,3972692,BATTERY,False,21.0,2005,41.93274051,-87.72331350700001,170312105021010,210502,1010
1056553,3618251,THEFT,True,19.0,2004,41.931417509,-87.75507844299999,170311908005001,190800,5001
2899084,9311818,CRIMINAL TRESPASS,True,25.0,2013,41.876581037,-87.74513751299999,170312522025000,252202,5000
1235869,4470136,CRIMINAL DAMAGE,False,67.0,2005,41.771518515,-87.66521405399999,170316715001014,671500,1014
1892019,7363176,THEFT,False,29.0,2010,41.851468098000005,-87.730274719,170318434001006,843400,1006
3660759,2633991,BATTERY,True,8.0,2003,41.903933267,-87.62913588200001,170310811003000,081100,3000
2695447,8987271,BATTERY,True,25.0,2013,41.884856209,-87.763346345,170312519003013,251900,3013
229281,10424401,THEFT,False,23.0,2016,41.895641608000005,-87.698572849,170318367002000,836700,2000
120046,10224781,ROBBERY,False,2.0,2015,41.984956576,-87.69589518,170310208013002,020801,3002
4830074,4666395,CRIMINAL DAMAGE,False,31.0,2006,41.85387986,-87.66854205899999,170313108003012,310800,3012
3725673,2726279,BURGLARY,False,69.0,2003,41.751292524,-87.60463685399999,170314401014005,440101,4005
4753282,4521281,NARCOTICS,True,53.0,2005,41.684698203,-87.63366963200001,170315302004026,530200,4026
4243785,3446037,CRIMINAL TRESPASS,True,36.0,2004,41.830109680999996,-87.610058377,170313602001000,360200,1000
1122214,7774043,CRIMINAL DAMAGE,False,23.0,2010,41.911842446,-87.71445266100001,170312303001005,230300,1005
1878864,7341533,DECEPTIVE PRACTICE,False,52.0,2010,41.694803586999996,-87.532871915,170315205001011,520500,1011
2025559,7568494,BURGLARY,False,25.0,2010,41.909476837,-87.757701197,170312503002016,250300,2016
2449275,8356072,NARCOTICS,True,44.0,2011,41.736335268000005,-87.623359866,170314403001014,440300,1014
995552,3303463,MOTOR VEHICLE THEFT,False,25.0,2004,41.905779247,-87.764086015,170312507004008,250700,4008
5154585,5396840,NARCOTICS,True,40.0,2006,41.785161229,-87.620603115,170314008002000,400800,2000
3912044,2962474,BATTERY,False,42.0,2003,41.776303146,-87.60709608799999,170314207002001,420700,2001
4488838,3905952,NARCOTICS,True,68.0,2005,41.785998332,-87.64859285899999,170318348001012,834800,1012
5642830,6456342,OTHER OFFENSE,False,30.0,2008,41.849408464,-87.712492921,170313007001021,300700,1021
5592313,6351515,MOTOR VEHICLE THEFT,False,44.0,2008,41.743574495,-87.60015841799999,170314401021006,440102,1006
5628425,6427334,CRIMINAL DAMAGE,False,17.0,2008,41.945248336,-87.818479273,170311705001006,170500,1006
2968976,9425244,CRIMINAL TRESPASS,True,8.0,2013,41.898371341,-87.62522266100001,170310812012000,081201,2000
2881710,9284521,NARCOTICS,True,23.0,2013,41.901451259,-87.711632726,170318366002012,836600,2012
2774586,9115532,NARCOTICS,True,49.0,2013,41.724270773,-87.63087038299999,170318340001032,834000,1032
2763692,9098558,THEFT,False,58.0,2013,41.820780888,-87.694591109,170315806001008,580600,1008
3603844,2551492,THEFT,False,6.0,2003,41.936874461,-87.656434235,170310629003010,062900,3010
1189467,7923280,ASSAULT,False,49.0,2011,41.704358268,-87.629124301,170314910003009,491000,3009
4011482,3100995,BATTERY,False,70.0,2003,41.753369537,-87.70896281700001,170317001001011,700100,1011
2962658,9414157,BURGLARY,False,3.0,2013,41.967804216,-87.65965899700001,170318307002008,830700,2008
5487924,6137116,NARCOTICS,True,35.0,2008,41.829879483,-87.61229185100001,170313511003000,351100,3000
3116774,9754951,THEFT,True,41.0,2014,41.799462885,-87.59600825700001,170314107001005,410700,1005
1786014,6680336,THEFT,False,66.0,2008,41.773635903,-87.692459877,170316608003002,660800,3002
1061508,1924837,CRIMINAL DAMAGE,False,,2002,41.931491670999996,-87.749668109,170311902004015,190200,4015
342837,10635566,DECEPTIVE PRACTICE,False,25.0,2016,41.882829332,-87.774744676,170318126002000,812600,2000
2449195,8355831,ARSON,False,71.0,2011,41.739789384,-87.642103904,170317109002017,710900,2017
2523763,8506269,NARCOTICS,True,14.0,2012,41.968170381,-87.734650551,170311404002017,140400,2017
