Inspection ID,DBA Name,AKA Name,License #,Address,City,State,Zip,Inspection Date,Inspection Type,Results
1319885,POLK STREET CO.,POLK STREET CO.,29507,548 W POLK ,CHICAGO,IL,60607,11/06/2013,Canvass Re-Inspection,Pass
1345639,TAVERN AT THE PARK,TAVERN AT THE PARK,1800448,130 E RANDOLPH ,CHICAGO,IL,60601,11/06/2013,Canvass Re-Inspection,Pass
1345638,STARBUCKS COFFEE #15683,STARBUCKS COFFEE,2089469,8 N MICHIGAN ,CHICAGO,IL,60602,11/06/2013,Canvass,Pass
1345637,DUNKIN DONUTS / BASKIN ROBBINS,DUNKIN DONUTS / BASKIN ROBBINS,27496,233 N MICHIGAN ,CHICAGO,IL,60601,11/06/2013,Canvass,Pass
1324772,GATEWAY NEWSTAND,GATEWAY NEWSTAND,1718317,311 S WACKER ,CHICAGO,IL,60606,11/05/2013,Canvass,Pass
1115118,7 ELEVEN,7 ELEVEN,2185323,801 S ,CHICAGO,IL,60605,11/05/2013,Canvass,Pass w/ Conditions
1345636,GATEWAY NEWSTANDS,GATEWAY NEWSTANDS,2107905,180 N LA SALLE ,CHICAGO,IL,60601,11/05/2013,Canvass,Pass
1324771,JAMBA JUICE,JAMBA JUICE,2083879,225 S CANAL ,CHICAGO,IL,60606,11/05/2013,Canvass,Pass
1345635,Chipotle Mexican Grill,Chipotle Mexican Grill,1575247,10 S LA SALLE ,CHICAGO,IL,60603,11/05/2013,Short Form Complaint,Pass w/ Conditions
1324770,McDONALD'S,McDONALD'S,1969971,225 S CANAL ,CHICAGO,IL,60606,11/05/2013,Canvass,Pass
1345634,STARBUCKS COFFEE #2337,STARBUCKS COFFEE #2337,23118,180 N LA SALLE ,CHICAGO,IL,60601,11/05/2013,Canvass,Pass
1115114,THE FIELD BISTRO,THE FIELD BISTRO/CATERING EAST & WEST,2269758,1400 S LAKE SHORE ,CHICAGO,IL,60605,11/05/2013,License,Pass
1115113,THE FIELD BISTRO,THE FIELD BISTRO/CATERING EAST & WEST,2269757,1400 S LAKE SHORE ,CHICAGO,IL,60605,11/05/2013,License,Pass
1324769,STARBUCKS COFFEE,STARBUCKS,23093,100 S WACKER ,CHICAGO,IL,60606,11/05/2013,Canvass Re-Inspection,Pass
1345633,THE GREAT STATE FARE,BURGER KING,20481,100 W RANDOLPH ,CHICAGO,IL,60601,11/05/2013,Canvass,Pass
1345632,THE GREAT STATE FARE,KFC,20481,100 W RANDOLPH ,CHICAGO,IL,60601,11/05/2013,Canvass,Pass
1324768,DUNKIN DONUTS BASKIN ROBBINS,DUNKIN DONUTS BASKIN ROBBINS,77587,229 W JACKSON ,CHICAGO,IL,60606,11/04/2013,Canvass Re-Inspection,Pass
1115112,PITABELLY,PITABELLY,2172617,606 S WABASH ,CHICAGO,IL,60605,11/04/2013,Complaint,Fail
1319879,BOTTOM LOUNGE,BOTTOM LOUNGE,1884298,1375 W LAKE ,CHICAGO,IL,60607,11/04/2013,Canvass Re-Inspection,Pass
1324767,THE JUNCTION CHICAGO,THE JUNCTION CHICAGO,2245721,225 S CANAL ,CHICAGO,IL,60606,11/04/2013,License,Pass
1345630,7-ELEVEN 33139,7-ELEVEN 33139,1196321,174 N MICHIGAN ,CHICAGO,IL,60601,11/04/2013,Canvass,Pass
1324766,THE JUNCTION CHICAGO,THE JUNCTION CHICAGO,2245719,225 S CANAL ,CHICAGO,IL,60606,11/04/2013,License,Pass
